Index,Location,Population,Economic Activity,Distance to Major Ports,Terrain Type,Historical Waterway Usage,Feasibility
1,Mumbai,"1,24,78,447",High,20 miles,Coastal,Moderate,Yes
2,Bangalore,"84,43,675",Medium,180 miles,Hilly,Low,No
3,Chennai,"70,88,222",High,30 miles,Coastal,High,Yes
4,Delhi,"1,10,34,555",High,150 miles,Flat,Low,No
5,Kolkata,"44,96,694",Medium,40 miles,Coastal,Moderate,Yes
6,Hyderabad,"68,09,970",Medium,80 miles,Flat,Low,No
7,Jaipur,"30,73,350",Low,100 miles,Flat,Low,No
8,Ahmedabad,"55,77,940",Medium,60 miles,Coastal,High,Yes
9,Pune,"31,24,458",High,50 miles,Hilly,Moderate,Yes
10,Lucknow,"28,17,105",Medium,100 miles,Flat,Low,No
11,Kanpur,"27,65,348",Low,60 miles,Flat,Low,No
12,Nagpur,"24,05,665",Medium,40 miles,Hilly,Moderate,Yes
13,Indore,"19,64,086",Medium,80 miles,Flat,Low,No
14,Thane,"18,41,488",High,10 miles,Coastal,High,Yes
15,Bhopal,"17,98,218",Medium,120 miles,Hilly,Low,No
16,Visakhapatnam,"17,28,128",High,10 miles,Coastal,High,Yes
17,Patna,"16,84,222",Medium,60 miles,Flat,Low,No
18,Vadodara,"16,70,806",Medium,20 miles,Coastal,Moderate,Yes
19,Srinagar,"15,81,894",Low,100 miles,Hilly,Low,No
20,Solapur,"15,90,623",Medium,40 miles,Flat,Moderate,Yes
21,Ranchi,"14,74,068",Low,120 miles,Hilly,Low,No
22,Navi Mumbai,"11,19,477",High,20 miles,Coastal,High,Yes
23,Dhanbad,"11,62,472",Medium,150 miles,Flat,Low,No
24,Gurgaon,"8,76,824",High,40 miles,Flat,Low,No
25,Jodhpur,"11,38,300",Low,180 miles,Hilly,Low,No
26,Amritsar,"11,34,897",Medium,20 miles,Flat,Moderate,Yes
27,Raipur,"11,22,555",Medium,80 miles,Flat,Low,No
28,Allahabad,"12,16,719",Low,60 miles,Flat,Low,No
29,Coimbatore,"11,68,396",High,30 miles,Hilly,Moderate,Yes
30,Jabalpur,"14,19,188",Medium,60 miles,Flat,Moderate,Yes
31,Gwalior,"11,17,051",Low,100 miles,Flat,Low,No
32,Vijayawada,"14,91,202",Medium,10 miles,Coastal,High,Yes
33,Kollam,"11,00,158",High,10 miles,Coastal,High,Yes
34,Durgapur,"5,81,961",Medium,30 miles,Flat,Moderate,Yes
35,Shimla,"2,06,670",Low,100 miles,Hilly,Low,No
36,Tirunelveli,"4,73,637",Medium,40 miles,Coastal,Low,No
37,Gaya,"4,79,148",Medium,100 miles,Flat,Low,No
38,Gorakhpur,"6,73,446",Low,60 miles,Flat,Low,No
39,Ujjain,"5,15,215",Medium,20 miles,Coastal,Moderate,Yes
40,Aurangabad,"11,73,045",Medium,80 miles,Flat,Low,No
41,Jhansi,"5,07,000",Low,120 miles,Hilly,Low,No
42,Guwahati,"9,57,352",Medium,10 miles,Coastal,High,Yes
43,Sonipat,"3,44,029",High,30 miles,Flat,Moderate,Yes
44,Kochi,"6,21,654",High,40 miles,Coastal,High,Yes
45,Mathura,"4,49,878",Medium,60 miles,Flat,Moderate,Yes
46,Muzaffarpur,"4,77,717",Medium,100 miles,Flat,Low,No
47,Kurnool,"4,84,327",Low,20 miles,Coastal,Low,No
48,Rajahmundry,"3,41,831",Medium,30 miles,Coastal,Moderate,Yes
49,Bellary,"4,11,408",Low,80 miles,Hilly,Low,No
50,Nellore,"6,28,648",Medium,60 miles,Coastal,Moderate,Yes
